OrderNumber	OrderDate	Status	StatusDescription	CustomerCode	SalespersonCode	AssemblerCode	ShippingCode	CustomerPO	Initials	EstimatedOrder	ShipTo_Address1	ShipTo_Address2	ShipTo_City	ShipTo_Name	ShipTo_State	ShipTo_Zip	SoldTo_Address1	SoldTo_Address2	SoldTo_City	SoldTo_Name	SoldTo_State	SoldTo_Zip	TotalWeight	TotalFreightDist	InvoiceAppliedTo	InvoiceDate	SaleType	InvSubtotalTaxable	ScheduledShipDate	InvoiceSubtotal	TermsDescription	CustomerReleaseDate
587654	09/01/2010	92	Posted To General Ledger	4136	4	10	101		JS	187.04	2105 W. SPRING ROAD		OAK BROOK	GIBSON'S - OAKBROOK	IL	60523	2105 W. SPRING ROAD		OAK BROOK	GIBSON'S - OAKBROOK	IL	60523	23.38	40	0	09/01/2010	1	187.04	09/01/2010	187.04	Net 30 Days	09/01/2010
587655	09/01/2010	92	Posted To General Ledger	67	4	23	101		JS	60	745 N RUSH		CHICAGO	RALPH LAUREN	IL	60611	115 E CHICAGO		CHICAGO	RALPH LAUREN	IL	60611	20	40	0	09/01/2010	1	60	09/01/2010	60	Net 30 Days	09/01/2010
587656	09/01/2010	92	Posted To General Ledger	3217	20	9	3	6794413V	JS	2141.46	12301 CUMBERLAND RD		FISHERS	US FOODSERVICE - INDIANAPOLIS	IN	46038	TRADES PAYABLES	P.O. BOX 29283	PHOENIX	US FOOD - INDY 3V	AZ	85038-9283	310.18	0	0	09/02/2010	1	2141.46	09/01/2010	2141.46	Net 14 Days	09/01/2010
587657	09/01/2010	92	Posted To General Ledger	3266	24	10	365	6795538L	JS	102.57	28001 NAPIER RD		WIXOM	US FOODSERVICE-DETROIT/WIXOM	MI	48393	TRADES PAYABLES	P.O. BOX 29283	PHOENIX 	US FOOD - DET/WIXOM 8L	AZ	85038-9283	26.58	0	0	09/01/2010	1	102.57	09/01/2010	102.57	Net 14 Days	09/01/2010
587658	09/01/2010	92	Posted To General Ledger	748	4	10	101		GR	1211.62	1028 NORTH RUSH		CHICAGO	GIBSON'S	IL	60611	1028 NORTH RUSH		CHICAGO	GIBSON'S	IL	60611	79.5	40	0	09/01/2010	1	1211.62	09/01/2010	1211.62	Net 30 Days	09/01/2010
587659	09/01/2010	92	Posted To General Ledger	3691	29	9	101		DB	5598.59	1300 PATRIOT BLVD		GLENVIEW 	WILDFIRE - GLENVIEW	IL	60026	1300 PATRIOT BLVD		GLENVIEW	WILDFIRE - GLENVIEW	IL	60026	634.18	40	0	09/02/2010	1	5598.59	09/01/2010	5598.59	20th EOM	09/01/2010
587660	09/01/2010	92	Posted To General Ledger	1033	4	27	101		JS	1583.57	DBA GIBSONS STEAKHOUSE	5464 NO RIVER ROAD	ROSEMONT	RIVER ROAD ASSOCIATES L.L.C.	IL	60018	DBA GIBSONS STEAKHOUSE 	5464 NO RIVER ROAD	ROSEMONT	RIVER ROAD	IL	60018	125.08	40	0	09/02/2010	1	1583.57	09/01/2010	1583.57	Net 30 Days	09/01/2010
587661	09/01/2010	92	Posted To General Ledger	3060	23	23	401	6795213K	JS	641.99	ONE QUALITY LANE		STREATOR	US FOODSERVICE - STREATOR	IL	61364	TRADE PAYABLES 	P.O. BOX 29283	PHOENIX	US FOOD - STREATOR 3K 	AZ	85038	112.04	0	0	09/02/2010	1	641.99	09/01/2010	641.99	Net 14 Days	09/01/2010
587662	09/01/2010	92	Posted To General Ledger	1955	7	27	101		JS	407.51	1528 N. WELLS		CHICAGO	O'BRIENS RESTAURANT	IL	60610	1528 N. WELLS		CHICAGO	O'BRIENS RESTAURANT	IL	60610	52.48	40	0	09/01/2010	1	407.51	09/01/2010	407.51	10th EOM	09/01/2010
587663	09/01/2010	92	Posted To General Ledger	748	4	27	101		GR	15520.99	1028 NORTH RUSH		CHICAGO	GIBSON'S	IL	60611	1028 NORTH RUSH		CHICAGO	GIBSON'S	IL	60611	981.88	40	0	09/02/2010	1	15520.99	09/01/2010	15520.99	Net 30 Days	09/01/2010
587664	09/01/2010	92	Posted To General Ledger	3217	20	9	3	6814093V	JS	734.47	12301 CUMBERLAND RD		FISHERS	US FOODSERVICE - INDIANAPOLIS	IN	46038	TRADES PAYABLES	P.O. BOX 29283	PHOENIX	US FOOD - INDY 3V	AZ	85038-9283	114.4	0	0	09/01/2010	1	734.47	09/01/2010	734.47	Net 14 Days	09/01/2010
587665	09/01/2010	92	Posted To General Ledger	3217	20	9	3	6814143V	JS	549.77	12301 CUMBERLAND RD		FISHERS	US FOODSERVICE - INDIANAPOLIS	IN	46038	TRADES PAYABLES	P.O. BOX 29283	PHOENIX	US FOOD - INDY 3V	AZ	85038-9283	78.68	0	0	09/01/2010	1	549.77	09/01/2010	549.77	Net 14 Days	09/01/2010
587666	09/01/2010	92	Posted To General Ledger	3096	7	27	185		DB	4595.29	9565 WASATCH BLVD.		SALT LAKE CITY	LA CAILLE	UT	84092	9565 WASATCH BLVD.		SALT LAKE CITY	LA CAILLE	UT	84092	467.66	200	0	09/03/2010	1	4595.29	09/01/2010	4595.29	Net 30 Days	09/01/2010
587667	09/01/2010	92	Posted To General Ledger	341	7	23	330		DB	2551.29	1211 SOUTH PROSPECT		CHAMPAIGN	CHAMPAIGN COUNTRY CLUB	IL	61820	1211 SOUTH PROSPECT		CHAMPAIGN	CHAMPAIGN COUNTRY CLUB	IL	61820	283.8	0	0	09/01/2010	1	2426.29	09/01/2010	2426.29	10th EOM	09/01/2010
587668	09/01/2010	92	Posted To General Ledger	3217	20	9	3	6814333V	JS	1331.13	12301 CUMBERLAND RD		FISHERS	US FOODSERVICE - INDIANAPOLIS	IN	46038	TRADES PAYABLES	P.O. BOX 29283	PHOENIX	US FOOD - INDY 3V	AZ	85038-9283	150.41	0	0	09/01/2010	1	1331.13	09/01/2010	1331.13	Net 14 Days	09/01/2010
587669	09/01/2010	92	Posted To General Ledger	342	4	17	30		GR	475.97	832 MARTIN LUTHER KING DRIVE		CHARENTON	CYPRESS BAYOU CASINO	LA	70523	832 MARTIN LUTHER KING DRIVE		CHARENTON	CYPRESS BAYOU CASINO	LA	70523	25.26	0	0	09/01/2010	1	440.79	09/01/2010	440.79	Net 21 Days	09/01/2010
587670	09/01/2010	92	Posted To General Ledger	3451	1	0	401		SAT	68.42	2324 MOUND RD		JOLIET	KALUZNY BROS., INC.	IL	60436	2324 MOUND RD		JOLIET	KALUZNY BROS., INC.	IL	60436	2394	0	0	09/01/2010	1	0	09/01/2010	68.42	Net 14 Days	09/01/2010
587671	09/01/2010	92	Posted To General Ledger	3090	7	17	185		DB	16573.76	900 N SHORELINE BLVD	 	CORPUS CHRISTI	OMNI CORPUS CHRISTI HOTELS	TX	78401	ATTN:  ACCOUNTS PAYABLE	707 N SHORELINE BLVD	CORPUS CHRISTI	OMNI CORPUS CHRISTI HOTELS	TX	78401	1062.8	0	0	09/03/2010	1	16373.76	09/01/2010	16373.76	Net 30 Days	09/01/2010
587672	09/01/2010	92	Posted To General Ledger	3266	24	10	365	6817458L	JS	1985.51	28001 NAPIER RD		WIXOM	US FOODSERVICE-DETROIT/WIXOM	MI	48393	TRADES PAYABLES	P.O. BOX 29283	PHOENIX 	US FOOD - DET/WIXOM 8L	AZ	85038-9283	106.12	0	0	09/01/2010	1	1985.51	09/01/2010	1985.51	Net 14 Days	09/01/2010
