Date	PO_Number	WarehouseCode	VendorCode	TermsCode	RequiredDate	AmountInvoiced	EstimatedTotalOrder	EstimatedTotalWeight	TotalOrderReceived	Status
06/16/2011	     56226	6	13302	1	06/20/2011	0	45563.63	5625.14	50987.88	2
06/16/2011	     56274	6	12450	1	06/20/2011	0	148814.9	17179.87	128503.35	2
06/17/2011	     56275	1	12450	1	06/20/2011	0	38816.09	7031.24	34595.52	2
06/16/2011	     56276	1	12450	1	06/20/2011	0	47586.46	9040.19	56587.31	2
06/16/2011	     56418	6	16007	1	06/20/2011	0	164944.72	21789.71	124947.04	2
06/16/2011	     56480	1	14126	1	06/20/2011	65648.15	77482.83	12571.48	65648.15	1
06/16/2011	     56483	1	13430	1	06/20/2011	0	29608.27	5480.12	27292.44	2
06/16/2011	     56497	6	13430	1	06/20/2011	0	42093	4651.16	48298.95	2
06/16/2011	     72223	1	16100	3	06/20/2011	0	9210	600	8967.48	2
06/16/2011	     72231	6	14126	1	06/20/2011	0	380442.12	47326.17	90505.01	1
06/16/2011	     72240	6	13780	1	06/20/2011	0	79071.2	17439.73	56511.59	1
06/16/2011	     72244	1	13302	1	06/20/2011	2805.27	6292.67	1386.05	2805.27	2
06/16/2011	     72251	6	16114	1	06/20/2011	0	74325.65	11150.44	0	0
06/16/2011	     72254	1	16085	1	06/20/2011	3546.03	2636.8	512	3546.03	2
06/17/2011	     72258	1	13250	1	06/20/2011	1308.07	1285.28	680.04	1308.07	2
06/17/2011	     72260	1	12110	1	06/20/2011	13682.46	18739.53	1420.03	13682.46	2
06/17/2011	     72262	1	12657	2	06/20/2011	120	150	50	120	2
06/14/2011	     93359	1	12450	1	06/20/2011	0	5121.46	2360.01	5577.61	2
06/20/2011	     93370	1	16126	1	06/20/2011	872	812	270	872	2
06/16/2011	M56273    	5	12450	1	06/20/2011	0	59007.06	6820.19	0	0
